Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BTT1,B+,MY-18650-01,100.000000,-75.600000,90.000000,bottom
BTT2,B-,MY-18650-01,100.000000,-124.400000,-90.000000,bottom
C1,100nF,C_0402_1005Metric,87.516312,-94.743462,67.500000,top
C2,100nF,C_0402_1005Metric,86.450000,-99.930000,90.000000,top
C3,100nF,C_0402_1005Metric,87.433688,-105.073462,112.500000,top
C4,100nF,C_0402_1005Metric,90.329411,-109.469411,135.000000,top
C5,100nF,C_0402_1005Metric,94.743462,-112.523688,157.500000,top
C6,100nF,C_0402_1005Metric,99.930000,-113.530000,180.000000,top
C7,100nF,C_0402_1005Metric,105.123462,-112.526312,-157.500000,top
C8,100nF,C_0402_1005Metric,109.490000,-109.650000,-135.000000,top
C9,100nF,C_0402_1005Metric,112.530000,-105.180000,-112.500000,top
C10,100nF,C_0402_1005Metric,113.530000,-100.070000,-90.000000,top
C11,100nF,C_0402_1005Metric,112.520000,-94.900000,-67.500000,top
C12,100nF,C_0402_1005Metric,109.610000,-90.510000,-45.000000,top
C13,100nF,C_0402_1005Metric,105.270000,-87.530000,-22.500000,top
C14,100nF,C_0402_1005Metric,100.020000,-86.460000,0.000000,top
C15,100nF,C_0402_1005Metric,94.830000,-87.470000,22.500000,top
C16,100nF,C_0402_1005Metric,90.530000,-90.340000,45.000000,top
C17,10uF,CP_EIA-3216-18_Kemet-A,81.448249,-78.770000,135.000000,top
C18,1uF,C_0402_1005Metric,92.350000,-77.050000,-67.500000,top
C19,1uF,C_0402_1005Metric,94.500000,-76.700000,22.500000,top
C20,100nF,C_0402_1005Metric,106.809361,-124.089927,-157.500000,top
C21,100nF,C_0402_1005Metric,107.154432,-124.975266,22.500000,top
C22,100nF,C_0402_1005Metric,108.863609,-124.267302,22.500000,top
C23,100nF,C_0402_1005Metric,108.755603,-120.740145,-67.500000,top
C24,100nF,C_0402_1005Metric,108.500060,-123.389616,-157.500000,top
C25,1uF,C_0402_1005Metric,107.323497,-122.848692,22.500000,top
C26,100nF,C_0402_1005Metric,110.033688,-123.293462,112.500000,top
C27,100nF,C_0402_1005Metric,103.312500,-102.475000,90.000000,top
C28,22uF,C_0805_2012Metric,106.462502,-102.575000,0.000000,top
C29,4.7uF,C_0402_1005Metric,104.262502,-102.505000,-90.000000,top
C30,10uF,C_0603_1608Metric,100.112502,-99.950000,-90.000000,top
C31,10uF,C_0603_1608Metric,98.612502,-98.450000,90.000000,top
C32,10uF,C_0603_1608Metric,100.112502,-96.950000,90.000000,top
C33,1uF,C_0402_1005Metric,107.155000,-101.050000,180.000000,top
C65,10uF,C_0402_1005Metric,81.416312,-96.293462,-112.500000,top
C66,1uF,C_0402_1005Metric,83.066312,-92.618462,67.500000,top
C67,1uF,C_0402_1005Metric,102.190001,-91.369995,90.000000,top
C68,1uF,C_0402_1005Metric,91.850000,-72.350000,-157.500000,top
C69,1uF,C_0402_1005Metric,76.506538,-81.766312,157.500000,top
C70,1uF,C_0402_1005Metric,78.450000,-84.300000,-112.500000,top
C71,10uF,C_0402_1005Metric,93.335000,-97.075000,90.000000,top
C72,10uF,C_0402_1005Metric,93.334999,-98.994999,-90.000000,top
C73,100nF,C_0402_1005Metric,90.855000,-95.574999,0.000000,top
C74,10uF,C_0402_1005Metric,88.375000,-98.995001,-90.000000,top
C75,10uF,C_0402_1005Metric,88.375000,-97.145000,90.000000,top
D1,SK6812MINI-012,XXXX12-X1,84.000000,-100.000000,90.000000,top
D2,SK6812MINI-012,XXXX12-X1,85.200000,-106.100000,112.500000,top
D3,SK6812MINI-012,XXXX12-X1,88.650000,-111.250000,135.000000,top
D4,SK6812MINI-012,XXXX12-X1,93.850000,-114.800000,157.500000,top
D5,SK6812MINI-012,XXXX12-X1,100.000000,-116.000000,180.000000,top
D6,SK6812MINI-012,XXXX12-X1,106.100000,-114.800000,-157.500000,top
D7,SK6812MINI-012,XXXX12-X1,111.300000,-111.350000,-135.000000,top
D8,SK6812MINI-012,XXXX12-X1,114.800000,-106.100000,-112.500000,top
D9,SK6812MINI-012,XXXX12-X1,116.000000,-99.950000,-90.000000,top
D10,SK6812MINI-012,XXXX12-X1,114.800000,-93.900000,-67.500000,top
D11,SK6812MINI-012,XXXX12-X1,111.300000,-88.700000,-45.000000,top
D12,SK6812MINI-012,XXXX12-X1,106.150000,-85.250000,-22.500000,top
D13,SK6812MINI-012,XXXX12-X1,100.000000,-84.000000,0.000000,top
D14,SK6812MINI-012,XXXX12-X1,93.850000,-85.200000,22.500000,top
D15,SK6812MINI-012,XXXX12-X1,88.750000,-88.650000,45.000000,top
D16,SK6812MINI-012,XXXX12-X1,85.250000,-93.850000,67.500000,top
F1,4A,Fuse_1206_3216Metric,101.475000,-79.450000,180.000000,top
H5,Tooling hole,ToolingHole_JLCSMT,89.000000,-130.500000,0.000000,top
H6,Tooling hole,ToolingHole_JLCSMT,110.500000,-69.500000,0.000000,top
J1,Power key,PinHeader_1x02_P2.54mm_Vertical,86.350000,-118.575000,0.000000,top
J2,Conn_01x06,PinHeader_1x06_P2.00mm_Vertical,79.848427,-74.571573,-45.000000,top
J3,I2C,PinHeader_1x03_P2.54mm_Vertical,121.477498,-125.054902,135.000000,top
L2,2.2uH,L_Taiyo-Yuden_MD-4040,100.612502,-103.850000,180.000000,top
L4,2.2uH,L_Taiyo-Yuden_MD-4040,90.835000,-102.275000,180.000000,top
Q1,AO3400A,SOT-23,112.133863,-127.458766,202.500000,top
Q2,AO3400A,SOT-23,114.400000,-126.500000,202.500000,top
R1,10k,R_0402_1005Metric,87.500000,-102.150000,90.000000,top
R2,100R,R_0402_1005Metric,89.189376,-115.260624,-135.000000,top
R3,150R,R_0402_1005Metric,103.812502,-95.750000,0.000000,top
R4,10mR,R_0805_2012Metric,108.448037,-128.032979,22.500000,top
R5,100R,R_0402_1005Metric,107.278270,-126.450144,112.500000,top
R6,100R,R_0402_1005Metric,108.159783,-126.095834,112.500000,top
R7,100R,R_0402_1005Metric,108.047639,-119.030968,-67.500000,top
R8,1k,R_0402_1005Metric,114.900000,-123.400000,112.500000,top
R9,10k,R_0402_1005Metric,105.105463,-122.641744,-67.500000,top
R10,100R,R_0402_1005Metric,109.060390,-122.129247,-157.500000,top
R11,100R,R_0402_1005Metric,110.700000,-121.150000,22.500000,top
R12,100R,R_0402_1005Metric,106.392582,-119.608276,-157.500000,top
R13,10k,R_0402_1005Metric,102.812502,-94.750000,0.000000,top
R14,10k,R_0402_1005Metric,101.812502,-95.750000,180.000000,top
R15,10k,R_0402_1005Metric,107.712502,-97.735000,90.000000,top
R16,10k,R_0402_1005Metric,106.712502,-97.740000,90.000000,top
R17,10k,R_0402_1005Metric,107.712504,-99.610000,90.000000,top
R18,10k,R_0402_1005Metric,106.712501,-99.655000,90.000000,top
R19,330,R_0402_1005Metric,68.570000,-89.440000,-112.500000,top
R20,330,R_0402_1005Metric,69.640000,-86.880000,-112.500000,top
R43,10k,R_0402_1005Metric,74.721772,-83.046696,-112.500000,top
R44,100k,R_0402_1005Metric,83.776312,-90.838462,-112.500000,top
R45,4.7k,R_0402_1005Metric,81.321179,-86.345169,-22.500000,top
R46,4.7k,R_0402_1005Metric,85.000000,-88.150000,90.000000,top
R48,0R,R_0402_1005Metric,88.935001,-95.575000,0.000000,top
R49,DNP,R_0402_1005Metric,89.935002,-94.575000,0.000000,top
U1,ESP32-C3-MINI-1,ESP32-C3-MINI-1,75.840228,-90.890130,157.500000,top
U2,BQ27546,DSBGA-15_BQ27546_I2C_1.95x2.6mm_P0.5mm,106.711860,-121.424333,112.500000,top
U3,SRV05-4,SOT-23-6,78.904334,-80.642583,135.000000,top
U4,FM2113,SOT-23-6,112.437012,-123.212635,292.500000,top
U5,SPL06-001,LGA-8_2x2.5mm_P0.65mm,76.550000,-83.650000,157.500000,top
U6,~,ST_HCLGA-4LD_3x4mm,90.410129,-70.093692,22.500000,top
U7,LTR-303ALS-01,Lite-On_LTR-303ALS-01,100.150000,-91.400000,180.000000,top
U8,BQ24295,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,103.575000,-98.900000,90.000000,top
