Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1nF,C_1206_3216Metric,105.500000,-99.925000,270.000000,top
D1,GRN,LED_0603_1608Metric,98.512500,-101.800000,180.000000,top
D2,RED,LED_0603_1608Metric,101.487502,-101.800000,0.000000,top
H5,Tooling hole,ToolingHole_JLCSMT,112.150000,-98.450000,0.000000,top
H6,Tooling hole,ToolingHole_JLCSMT,87.900000,-98.400000,0.000000,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,100.000000,-106.160000,0.000000,top
J3,Mainboard,0.5K-QX-16PWB_16Pin_0.5mm,100.000000,-97.425000,180.000000,top
R1,5.1k,R_0402_1005Metric,96.300000,-101.200000,-90.000000,top
R2,5.1k,R_0402_1005Metric,103.700000,-101.200000,-90.000000,top
R3,100k,R_0805_2012Metric,94.650000,-100.800000,-90.000000,top
